,date,ticker,pred_ret
0,2023-12-13,PFE,0.5260390845356737
1,2023-12-14,TMUS,0.5292816278763005
2,2023-12-15,CPT,0.5390348703092084
3,2023-12-18,BA,0.5409536351113905
4,2023-12-19,STLA,0.5277897521164424
5,2023-12-20,NKE,0.5382400586874923
6,2023-12-21,PAYX,0.5193521326473086
7,2023-12-22,RL,0.5406048077750913
8,2023-12-26,INFY,0.5154805560301536
9,2023-12-27,COST,0.5418536251571133
10,2023-12-28,PTC,0.5406686279537043
11,2023-12-29,CUBE,0.5416851225026785
12,2024-01-02,NONE,
13,2024-01-03,FLEX,0.5419939294307108
14,2024-01-04,BHP,0.5435947106271167
15,2024-01-05,BHP,0.5433738546351287
16,2024-01-08,DD,0.5383875995294423
17,2024-01-09,ARES,0.5418219784146823
18,2024-01-10,GILD,0.5423076519761973
19,2024-01-11,ABT,0.5452139735564243
20,2024-01-12,BAC,0.5290998948542388
21,2024-01-16,DBX,0.5321441281214633
22,2024-01-17,WAB,0.5347539957094354
23,2024-01-18,TMUS,0.538898243986631
24,2024-01-19,SNY,0.540330464085492
25,2024-01-22,GILD,0.5408661848053904
26,2024-01-23,GSK,0.5361919760510105
27,2024-01-24,CHD,0.5409970213321682
28,2024-01-25,LLY,0.5310654300020978
29,2024-01-26,FICO,0.535160888584123
30,2024-01-29,ACGL,0.536803727615989
31,2024-01-30,VRTX,0.5397747149427355
32,2024-01-31,VRTX,0.5385782886171009
33,2024-02-01,ACGL,0.538769244851211
34,2024-02-02,CRH,0.543480546268194
35,2024-02-05,IR,0.54421524088746
36,2024-02-06,IT,0.5348474942310679
37,2024-02-07,INFY,0.5382108310504756
38,2024-02-08,AZO,0.5411482966330513
39,2024-02-09,BKNG,0.5359768485568779
40,2024-02-12,VRSK,0.5267356013462899
41,2024-02-13,MAR,0.5444989590581413
42,2024-02-14,TM,0.5340199833479133
43,2024-02-15,WST,0.5403431924017086
44,2024-02-16,GEHC,0.5376259350968257
45,2024-02-20,EME,0.5325199760774241
46,2024-02-21,GEHC,0.5359324880072343
47,2024-02-22,CHK,0.5364058882841084
48,2024-02-23,BKNG,0.5275648839474241
49,2024-02-26,GGG,0.523620240898832
50,2024-02-27,LLY,0.5367203270543736
51,2024-02-28,VST,0.536710239121546
52,2024-02-29,MMC,0.5275402581442404
53,2024-03-01,ANSS,0.5394295779243212
54,2024-03-04,CRH,0.5416834331847706
